frp_true,frp_pred
9549.2,0.5538105
3650.4,0.40125987
38737.6,0.6651182
12214.6,0.57523835
38199.8,0.6094806
10102.5,0.54968596
11758.8,0.4850931
43947.6,0.6152574
38862.4,0.63951635
25644.2,0.6132943
24629.0,0.63463986
89548.5,0.7070638
26173.9,0.5859703
36157.1,0.64102966
34239.8,0.605847
17730.1,0.5563917
28701.0,0.6516316
10825.3,0.53797543
8054.6,0.48240668
77364.1,0.769086
88815.2,0.73529816
9559.8,0.57037354
62438.7,0.6982219
64868.3,0.69359434
12261.8,0.5992833
34493.6,0.59171945
8622.8,0.5456782
21358.3,0.59474874
10321.9,0.5841826
4788.4,0.42267182
3828.3,0.40097186
3054.1,0.377849
2323.4,0.35592067
17208.6,0.60007584
30452.8,0.69023716
32629.3,0.6190232
16167.3,0.5482476
10269.1,0.49976054
24169.5,0.57128626
13142.4,0.48191315
18612.6,0.5822929
19773.1,0.58924603
9440.1,0.6059047
38277.2,0.726073
7673.6,0.5700377
49659.6,0.7132859
78167.0,0.78679216
8904.6,0.4798436
23374.7,0.62586
24896.3,0.55462205
5792.1,0.4767855
16454.1,0.59357184
